User_ID,Age,Country
1,12.0,usa
2,18.0,usa
3,15.0,russia
4,17.0,portugal
5,62.0,united kingdom
6,61.0,usa
7,16.0,usa
8,71.0,canada
9,70.0,usa
10,26.0,spain
11,14.0,australia
12,21.0,usa
13,26.0,spain
14,45.0,usa
15,72.0,canada
16,65.0,usa
17,73.0,usa
18,25.0,brazil
19,14.0,az
20,19.0,usa
21,46.0,spain
22,17.0,germany
23,14.0,usa
24,19.0,germany
25,55.0,usa
26,23.0,usa
27,32.0,usa
28,24.0,germany
29,19.0,mexico
30,24.0,usa
31,20.0,china
32,50.0,usa
33,34.0,usa
34,46.0,united kingdom
35,17.0,usa
36,24.0,canada
37,23.0,spain
38,34.0,italy
39,67.0,usa
40,32.0,usa
41,14.0,usa
42,17.0,usa
43,24.0,distrito federal
44,51.0,usa
45,52.0,germany
46,31.0,germany
47,21.0,italy
48,62.0,usa
49,75.0,italy
50,17.0,united kingdom
51,34.0,usa
52,6.0,germany
53,68.0,usa
54,44.0,usa
55,58.0,canada
56,24.0,usa
57,53.0,italy
58,35.0,canada
59,23.0,usa
60,62.0,italy
61,30.0,usa
62,28.0,usa
63,57.0,usa
64,32.0,france
65,68.0,australia
66,30.0,canada
67,43.0,usa
68,76.0,canada
69,49.0,canada
70,44.0,usa
71,24.0,canada
72,34.0,united kingdom
73,70.0,usa
74,30.0,netherlands
75,37.0,usa
76,56.0,usa
77,76.0,canada
78,18.0,usa
79,20.0,canada
80,66.0,canada
81,75.0,usa
82,44.0,usa
83,50.0,usa
84,7.0,usa
85,41.0,united kingdom
86,71.0,usa
87,53.0,usa
88,49.0,usa
89,54.0,usa
90,42.0,usa
91,30.0,az
92,20.0,spain
93,50.0,usa
94,39.0,iraq
95,79.0,usa
96,38.0,finland
97,68.0,usa
98,19.0,new zealand
99,42.0,usa
100,44.0,spain
101,26.0,india
102,23.0,spain
103,53.0,usa
104,47.0,usa
105,36.0,united kingdom
106,43.0,usa
107,25.0,canada
108,34.0,usa
109,20.0,usa
110,50.0,usa
111,25.0,portugal
112,32.0,mexico
113,36.0,usa
114,57.0,usa
115,69.0,usa
116,63.0,usa
117,57.0,usa
118,28.0,ghana
119,35.0,usa
120,13.0,france
121,49.0,usa
122,57.0,usa
123,24.0,usa
124,58.0,usa
125,49.0,usa
126,24.0,netherlands
127,28.0,switzerland
128,58.0,usa
129,47.0,usa
130,70.0,italy
131,17.0,usa
132,38.0,usa
133,45.0,usa
134,29.0,australia
135,69.0,usa
136,55.0,usa
137,71.0,canada
138,28.0,usa
139,35.0,usa
140,24.0,germany
141,74.0,usa
142,51.0,usa
143,26.0,usa
144,62.0,usa
145,64.0,united kingdom
146,44.0,usa
147,15.0,usa
148,63.0,united kingdom
149,33.0,slovenia
150,25.0,iran
151,31.0,australia
152,26.0,netherlands
153,24.0,france
154,38.0,canada
155,65.0,peru
156,20.0,bosnia and herzegovina
157,36.0,italy
158,38.0,germany
159,51.0,usa
160,20.0,portugal
161,27.0,portugal
162,72.0,usa
163,7.0,vietnam
164,33.0,mexico
165,62.0,usa
166,20.0,australia
167,11.0,usa
168,44.0,usa
169,21.0,usa
170,28.0,usa
171,29.0,brazil
172,66.0,brazil
173,51.0,usa
174,31.0,sri lanka
175,7.0,portugal
176,34.0,united kingdom
177,46.0,netherlands
178,28.0,usa
179,57.0,pakistan
180,35.0,denmark
181,59.0,pakistan
182,36.0,netherlands
183,27.0,portugal
184,67.0,usa
185,17.0,usa
186,69.0,usa
187,29.0,usa
188,17.0,usa
189,31.0,belgium
190,33.0,belgium
191,40.0,germany
192,60.0,usa
193,23.0,india
194,34.0,usa
195,23.0,usa
196,33.0,malaysia
197,41.0,canada
198,21.0,germany
199,38.0,usa
200,27.0,united kingdom
201,68.0,az
202,28.0,canada
203,51.0,usa
204,15.0,usa
205,23.0,turkey
206,60.0,france
207,18.0,usa
208,16.0,germany
209,21.0,malaysia
210,54.0,usa
211,21.0,spain
212,21.0,philippines
213,76.0,usa
214,27.0,usa
215,20.0,canada
216,42.0,spain
217,70.0,usa
218,41.0,india
219,26.0,greece
220,68.0,colombia
221,79.0,usa
222,62.0,usa
223,76.0,pakistan
224,23.0,usa
225,36.0,usa
226,43.0,usa
227,14.0,united kingdom
228,41.0,usa
229,22.0,india
230,58.0,usa
231,77.0,india
232,16.0,india
233,23.0,finland
234,25.0,finland
235,22.0,portugal
236,49.0,usa
237,27.0,usa
238,23.0,united kingdom
239,9.0,usa
240,20.0,australia
241,63.0,usa
242,37.0,germany
243,67.0,usa
244,65.0,usa
245,31.0,usa
246,16.0,norway
247,23.0,greece
248,15.0,canada
249,29.0,netherlands
250,25.0,usa
251,54.0,spain
252,65.0,kuwait
253,28.0,italy
254,24.0,usa
255,32.0,chile
256,79.0,usa
257,11.0,quit
258,22.0,lj
259,45.0,usa
260,51.0,usa
261,45.0,germany
262,28.0,usa
263,52.0,usa
264,23.0,taiwan
265,24.0,china
266,61.0,canada
267,29.0,usa
268,17.0,az
269,29.0,denmark
270,9.0,germany
271,22.0,pakistan
272,20.0,usa
273,65.0,usa
274,26.0,italy
275,41.0,canada
276,36.0,usa
277,15.0,australia
278,21.0,usa
279,56.0,united kingdom
280,28.0,usa
281,31.0,germany
282,13.0,canada
283,42.0,usa
284,35.0,spain
285,75.0,united kingdom
286,17.0,usa
287,47.0,usa
288,19.0,usa
289,15.0,usa
290,73.0,usa
291,49.0,usa
292,22.0,usa
293,25.0,canada
294,58.0,usa
295,28.0,usa
296,21.0,spain
297,27.0,usa
298,54.0,usa
299,42.0,france
300,71.0,usa
301,32.0,usa
302,53.0,usa
303,45.0,usa
304,24.0,usa
305,19.0,usa
306,40.0,usa
307,27.0,finland
308,53.0,españa
309,30.0,united kingdom
310,26.0,spain
311,34.0,netherlands
312,23.0,az
313,18.0,usa
314,28.0,denmark
315,55.0,sweden
316,23.0,canada
317,41.0,usa
318,35.0,az
319,32.0,denmark
320,37.0,usa
321,24.0,pakistan
322,9.0,norway
323,23.0,usa
324,38.0,philippines
325,27.0,switzerland
326,47.0,usa
327,71.0,usa
328,33.0,usa
329,21.0,pakistan
330,19.0,philippines
331,60.0,argentina
332,59.0,usa
333,23.0,spain
334,27.0,finland
335,27.0,italy
336,27.0,spain
337,17.0,spain
338,77.0,usa
339,20.0,finland
340,15.0,philippines
341,50.0,france
342,28.0,nigeria
343,21.0,usa
344,25.0,united kingdom
345,27.0,usa
346,29.0,canada
347,34.0,canada
348,17.0,usa
349,53.0,denmark
350,46.0,italy
351,25.0,turkey
352,28.0,usa
353,41.0,spain
354,50.0,brazil
355,29.0,london
356,33.0,usa
357,29.0,united kingdom
358,39.0,usa
359,59.0,usa
360,33.0,spain
361,25.0,spain
362,63.0,canada
363,76.0,germany
364,77.0,portugal
365,13.0,italy
366,26.0,bulgaria
367,45.0,usa
368,35.0,usa
369,25.0,usa
370,46.0,usa
371,48.0,mexico
372,22.0,germany
373,45.0,austria
374,45.0,germany
375,28.0,germany
376,35.0,usa
377,64.0,malaysia
378,57.0,usa
379,47.0,canada
380,42.0,usa
381,38.0,usa
382,63.0,usa
383,61.0,usa
384,23.0,romania
385,21.0,france
386,20.0,iran
387,17.0,usa
388,35.0,usa
389,22.0,spain
390,48.0,usa
391,22.0,usa
392,44.0,spain
393,24.0,united kingdom
394,25.0,united kingdom
395,24.0,spain
396,68.0,sweden
397,50.0,portugal
398,35.0,new zealand
399,41.0,nigeria
400,36.0,usa
401,28.0,argentina
402,19.0,united kingdom
403,77.0,usa
404,37.0,usa
405,42.0,germany
406,37.0,spain
407,13.0,pakistan
408,17.0,usa
409,50.0,portugal
410,40.0,united kingdom
411,27.0,usa
412,32.0,usa
413,17.0,usa
414,34.0,usa
415,24.0,usa
416,31.0,usa
417,68.0,usa
418,56.0,usa
419,14.0,usa
420,14.0,australia
421,47.0,usa
422,23.0,canada
423,24.0,united kingdom
424,29.0,usa
425,32.0,canada
426,10.0,usa
427,42.0,australia
428,35.0,usa
429,25.0,usa
430,23.0,usa
431,40.0,usa
432,19.0,usa
433,48.0,usa
434,16.0,usa
435,60.0,usa
436,53.0,australia
437,9.0,canada
438,34.0,italy
439,67.0,usa
440,16.0,usa
441,77.0,usa
442,24.0,united kingdom
443,47.0,usa
444,40.0,usa
445,27.0,usa
446,45.0,usa
447,62.0,usa
448,22.0,usa
449,65.0,usa
450,31.0,italy
451,33.0,usa
452,29.0,usa
453,60.0,usa
454,50.0,united kingdom
455,54.0,canada
456,31.0,usa
457,62.0,united kingdom
458,17.0,usa
459,37.0,usa
460,28.0,italy
461,15.0,singapore
462,18.0,usa
463,20.0,australia
464,24.0,india
465,16.0,usa
466,18.0,usa
467,76.0,usa
468,50.0,usa
469,18.0,usa
